1880.05.05_Freeman'sJournalandDailyCommercialAdvertiser_0007,1880.05.04_TheHullPacketandEastRidingTimes_0004
1880.05.05_GlasgowHerald_0001,1880.05.01_AberdeenWeeklyJournal_0001
1880.05.05_GlasgowHerald_0007,1880.05.04_ThePallMallGazette_0007
1880.05.05_GlasgowHerald_0008,1880.05.04_BirminghamDailyPost_0006
1880.05.05_LiverpoolMercuryetc_0007,1880.05.04_DailyNews_0005
1880.05.05_LiverpoolMercuryetc_0008,1880.05.04_BirminghamDailyPost_0006
1880.05.05_TheBristolMercuryandDailyPost_0002,1880.05.04_DailyNews_0005
1880.05.05_TheBristolMercuryandDailyPost_0006,1880.05.03_DailyNews_0003
1880.05.05_TheBristolMercuryandDailyPost_0007,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.05_TheDerbyMercury_0001,1880.05.01_TheBristolMercuryandDailyPost_0002
1880.05.05_TheDerbyMercury_0003,1880.05.02_Lloyd'sWeeklyNewspaper_0008
1880.05.05_TheDerbyMercury_0005,1880.05.03_TheLeedsMercury_0005
1880.05.05_TheDerbyMercury_0006,1880.05.01_ThePallMallGazette_0011
1880.05.05_TheDerbyMercury_0007,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.05_TheDerbyMercury_0008,1880.05.02_Reynolds'sNewspaper_0003
1880.05.05_TheHullPacketandEastRidingTimes_0002,1880.05.03_TheBristolMercuryandDailyPost_0007
1880.05.05_TheHullPacketandEastRidingTimes_0003,1880.05.04_DailyNews_0002
1880.05.05_TheLeedsMercury_0006,1880.05.04_BirminghamDailyPost_0006
1880.05.05_ThePallMallGazette_0013,1880.05.04_BirminghamDailyPost_0006
1880.05.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1880.05.01_Jackson'sOxfordJournal_0002
1880.05.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1880.05.01_TheIpswichJournal_0011
1880.05.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1880.05.01_TheBristolMercuryandDailyPost_0007
1880.05.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0005,1880.05.03_WesternMail_0003
1880.05.05_WesternMail_0003,1880.05.04_AberdeenWeeklyJournal_0002
1880.05.06_AberdeenWeeklyJournal_0002,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.06_AberdeenWeeklyJournal_0003,1880.05.01_GlasgowHerald_0006
1880.05.06_AberdeenWeeklyJournal_0006,1880.05.05_ThePallMallGazette_0008
1880.05.06_BirminghamDailyPost_0005,1880.05.05_ThePallMallGazette_0008
1880.05.06_BirminghamDailyPost_0006,1880.05.05_DailyNews_0002
1880.05.06_BirminghamDailyPost_0008,1880.05.05_ThePallMallGazette_0008
1880.05.06_DailyNews_0002,1880.05.05_ThePallMallGazette_0007
1880.05.06_DailyNews_0007,1880.05.05_ThePallMallGazette_0006
1880.05.06_GlasgowHerald_0002,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.06_GlasgowHerald_0006,1880.05.05_BirminghamDailyPost_0006
1880.05.06_LiverpoolMercuryetc_0007,1880.05.05_ThePallMallGazette_0008
1880.05.06_LiverpoolMercuryetc_0008,1880.05.04_BirminghamDailyPost_0006
1880.05.06_TheBristolMercuryandDailyPost_0002,1880.05.05_ThePallMallGazette_0006
1880.05.06_TheBristolMercuryandDailyPost_0003,1880.05.05_DailyNews_0002
1880.05.06_TheBristolMercuryandDailyPost_0007,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.06_TheHullPacketandEastRidingTimes_0001,1880.05.05_AberdeenWeeklyJournal_0001
1880.05.06_TheHullPacketandEastRidingTimes_0002,1880.05.03_TheBristolMercuryandDailyPost_0007
1880.05.06_TheHullPacketandEastRidingTimes_0003,1880.05.05_TheDerbyMercury_0003
1880.05.06_TheHullPacketandEastRidingTimes_0004,1880.05.05_DailyNews_0005
1880.05.06_TheLeedsMercury_0003,1880.05.05_ThePallMallGazette_0007
1880.05.06_TheLeedsMercury_0007,1880.05.04_ThePallMallGazette_0013
