1814.07.02_TheLeedsMercury_0004,1814.07.01_LiverpoolMercuryetc_0003
1814.07.04_CaledonianMercury_0002,1814.07.02_Jackson'sOxfordJournal_0002
1814.07.04_CaledonianMercury_0003,1814.07.02_TheMorningChronicle_0002
