1811.02.02_TheIpswichJournal_0002,1811.02.01_TheMorningChronicle_0004
1811.02.04_CaledonianMercury_0001,1811.02.02_Jackson'sOxfordJournal_0004
1811.02.04_CaledonianMercury_0002,1811.02.01_TheMorningChronicle_0002
