1813.09.04_CaledonianMercury_0002,1813.09.01_TheMorningChronicle_0002
1813.09.04_TheLeedsMercury_0002,1813.09.02_TheMorningChronicle_0002
1813.09.04_TheLeedsMercury_0003,1813.09.02_CaledonianMercury_0002
1813.09.05_TheExaminer_0005,1813.09.04_CaledonianMercury_0002
1813.09.05_TheExaminer_0006,1813.09.04_CaledonianMercury_0002
1813.09.06_CaledonianMercury_0002,1813.09.03_TheMorningChronicle_0002
1813.09.06_CaledonianMercury_0004,1813.09.01_TheMorningChronicle_0003
