1815.03.05_TheExaminer_0013,1815.03.04_TheMorningChronicle_0003
1815.03.05_TheExaminer_0015,1815.03.02_TheMorningChronicle_0003
1815.03.06_CaledonianMercury_0003,1815.03.05_TheExaminer_0015
