Target_Year	Target_Month	Target_Day	Target	Target_Page	Source_Year	Source_Month	Source_Day	Source	Source_Page
1805	1	5	TheIpswichJournal	4	1805	1	3	TheDerbyMercury	1
1805	1	9	TheAberdeenJournal	2	1805	1	7	CaledonianMercury	1
1805	1	16	TheAberdeenJournal	2	1805	1	12	CaledonianMercury	2
1805	1	19	JacksonsOxfordJournal	4	1805	1	17	CaledonianMercury	2
1805	1	21	HampshireTelegraphandSussexChronicleetc	4	1805	1	19	CaledonianMercury	2
1805	1	23	TheAberdeenJournal	2	1805	1	19	CaledonianMercury	2
1805	1	26	TheNewcastleCourantetc	2	1805	1	21	CaledonianMercury	3
1805	1	26	TheNewcastleCourantetc	3	1805	1	10	TrewmansExeterFlyingPost	3
1805	1	29	TheHullPacket	4	1805	1	5	CaledonianMercury	2
1805	1	30	TheAberdeenJournal	2	1805	1	21	CaledonianMercury	4
1805	2	4	HampshireTelegraphandSussexChronicleetc	1	1805	1	17	TrewmansExeterFlyingPost	3
1805	2	13	TheAberdeenJournal	2	1805	1	29	TheHullPacket	4
1805	2	14	TrewmansExeterFlyingPost	3	1805	2	9	JacksonsOxfordJournal	2
1805	2	21	TheDerbyMercury	1	1805	2	20	TheAberdeenJournal	2
1805	3	30	TheIpswichJournal	4	1805	3	28	TheDerbyMercury	4
1805	4	25	TrewmansExeterFlyingPost	3	1805	4	20	JacksonsOxfordJournal	2
1805	5	9	TrewmansExeterFlyingPost	3	1805	3	28	TheDerbyMercury	4
1805	5	13	HampshireTelegraphandSussexChronicleetc	4	1805	5	11	CaledonianMercury	2
1805	6	1	JacksonsOxfordJournal	4	1805	5	30	CaledonianMercury	3
1805	6	18	TheHullPacket	1	1805	6	15	TheIpswichJournal	4
1805	6	20	TheDerbyMercury	1	1805	6	18	TheHullPacket	3
1805	6	22	JacksonsOxfordJournal	2	1805	6	20	TrewmansExeterFlyingPost	1
1805	6	22	TheIpswichJournal	4	1805	6	17	CaledonianMercury	1
1805	7	4	TrewmansExeterFlyingPost	3	1805	6	22	TheIpswichJournal	4
1805	1	5	CaledonianMercury	3	1805	1	1	TheMorningChronicle	2
1805	1	5	JacksonsOxfordJournal	1	1805	1	3	TheDerbyMercury	4
1805	1	7	CaledonianMercury	1	1805	1	3	TrewmansExeterFlyingPost	3
1805	1	10	CaledonianMercury	1	1805	1	3	TrewmansExeterFlyingPost	3
1805	1	10	TrewmansExeterFlyingPost	1	1805	1	7	CaledonianMercury	2
1805	1	12	CaledonianMercury	2	1805	1	9	TheMorningChronicle	3
1805	1	12	CobbettsWeeklyPoliticalRegister	7	1805	1	9	TheMorningChronicle	3
1805	1	12	CobbettsWeeklyPoliticalRegister	8	1805	1	9	TheMorningChronicle	3
1805	1	12	JacksonsOxfordJournal	1	1805	1	9	TheMorningChronicle	3
1805	1	12	JacksonsOxfordJournal	4	1805	1	10	CaledonianMercury	2
1805	1	12	TheNewcastleCourantetc	2	1805	1	10	TheDerbyMercury	4
1805	1	14	HampshireTelegraphandSussexChronicleetc	1	1805	1	10	TrewmansExeterFlyingPost	4
1805	1	15	TheHullPacket	4	1805	1	12	CaledonianMercury	2
1805	1	16	TheAberdeenJournal	3	1805	1	5	CaledonianMercury	3
1805	1	17	CaledonianMercury	1	1805	1	14	HampshireTelegraphandSussexChronicleetc	4
1805	1	17	TheDerbyMercury	4	1805	1	14	CaledonianMercury	2
1805	1	17	TrewmansExeterFlyingPost	2	1805	1	12	CaledonianMercury	2
1805	1	19	CaledonianMercury	2	1805	1	17	TrewmansExeterFlyingPost	4
1805	1	19	CobbettsWeeklyPoliticalRegister	8	1805	1	17	CaledonianMercury	2
1805	1	19	CobbettsWeeklyPoliticalRegister	9	1805	1	17	TrewmansExeterFlyingPost	4
1805	1	19	JacksonsOxfordJournal	1	1805	1	17	TrewmansExeterFlyingPost	4
1805	1	21	CaledonianMercury	3	1805	1	19	JacksonsOxfordJournal	3
1805	1	22	TheHullPacket	4	1805	1	5	CaledonianMercury	2
1805	1	23	TheAberdeenJournal	1	1805	1	10	CaledonianMercury	1
1805	1	23	TheAberdeenJournal	3	1805	1	17	CaledonianMercury	3
1805	1	23	TheAberdeenJournal	4	1805	1	10	CaledonianMercury	4
1805	1	24	CaledonianMercury	4	1805	1	23	TheAberdeenJournal	4
1805	1	24	TheDerbyMercury	4	1805	1	19	CaledonianMercury	2
1805	1	26	CaledonianMercury	1	1805	1	23	TheAberdeenJournal	4
1805	1	26	CaledonianMercury	2	1805	1	24	TheMorningChronicle	2
1805	1	26	CaledonianMercury	3	1805	1	23	TheAberdeenJournal	2
1805	1	26	CobbettsWeeklyPoliticalRegister	22	1805	1	25	TheMorningChronicle	1
1805	1	26	CobbettsWeeklyPoliticalRegister	23	1805	1	25	TheMorningChronicle	1
1805	1	26	CobbettsWeeklyPoliticalRegister	24	1805	1	25	TheMorningChronicle	1
1805	1	26	CobbettsWeeklyPoliticalRegister	25	1805	1	25	TheMorningChronicle	1
1805	1	26	CobbettsWeeklyPoliticalRegister	26	1805	1	22	TheMorningChronicle	3
1805	1	26	CobbettsWeeklyPoliticalRegister	27	1805	1	22	TheMorningChronicle	3
1805	1	26	CobbettsWeeklyPoliticalRegister	28	1805	1	19	CaledonianMercury	3
1805	1	26	CobbettsWeeklyPoliticalRegister	32	1805	1	17	CaledonianMercury	2
1805	1	26	JacksonsOxfordJournal	4	1805	1	17	TrewmansExeterFlyingPost	3
1805	1	26	TheIpswichJournal	2	1805	1	25	TheMorningChronicle	1
1805	1	28	CaledonianMercury	2	1805	1	25	TheMorningChronicle	1
1805	1	28	CaledonianMercury	3	1805	1	25	TheMorningChronicle	2
1805	1	28	HampshireTelegraphandSussexChronicleetc	4	1805	1	25	TheMorningChronicle	1
1805	1	29	TheHullPacket	2	1805	1	25	TheMorningChronicle	1
1805	1	29	TheHullPacket	3	1805	1	25	TheMorningChronicle	1
1805	1	30	TheAberdeenJournal	3	1805	1	26	TheNewcastleCourantetc	4
1805	1	31	CaledonianMercury	2	1805	1	25	TheMorningChronicle	4
1805	1	31	TheDerbyMercury	2	1805	1	25	TheMorningChronicle	1
1805	1	31	TrewmansExeterFlyingPost	1	1805	1	26	CaledonianMercury	2
1805	1	31	TrewmansExeterFlyingPost	2	1805	1	25	TheMorningChronicle	1
1805	2	2	CaledonianMercury	2	1805	1	19	JacksonsOxfordJournal	2
1805	2	2	JacksonsOxfordJournal	4	1805	1	31	CaledonianMercury	3
1805	2	4	CaledonianMercury	2	1805	2	2	TheMorningChronicle	3
1805	2	4	CaledonianMercury	3	1805	2	2	JacksonsOxfordJournal	2
1805	2	4	HampshireTelegraphandSussexChronicleetc	2	1805	2	2	CaledonianMercury	2
1805	2	6	TheAberdeenJournal	1	1805	1	24	CaledonianMercury	4
1805	2	6	TheAberdeenJournal	2	1805	1	25	TheMorningChronicle	1
1805	2	6	TheAberdeenJournal	3	1805	1	31	CaledonianMercury	3
1805	2	7	CaledonianMercury	2	1805	2	4	TheMorningChronicle	3
1805	2	7	CaledonianMercury	3	1805	2	4	TheMorningChronicle	4
1805	2	7	CaledonianMercury	4	1805	2	6	TheAberdeenJournal	1
1805	2	7	TrewmansExeterFlyingPost	1	1805	2	4	CaledonianMercury	2
1805	2	7	TrewmansExeterFlyingPost	3	1805	1	26	TheNewcastleCourantetc	3
1805	2	9	JacksonsOxfordJournal	2	1805	2	8	TheMorningChronicle	3
1805	2	9	JacksonsOxfordJournal	4	1805	2	7	CaledonianMercury	3
1805	2	11	CaledonianMercury	2	1805	2	7	TheMorningChronicle	2
1805	2	11	HampshireTelegraphandSussexChronicleetc	1	1805	1	17	TrewmansExeterFlyingPost	3
1805	2	11	HampshireTelegraphandSussexChronicleetc	4	1805	1	10	TrewmansExeterFlyingPost	3
1805	2	12	TheHullPacket	3	1805	2	11	CaledonianMercury	2
1805	2	13	TheAberdeenJournal	3	1805	2	7	CaledonianMercury	3
1805	2	13	TheAberdeenJournal	4	1805	2	7	CaledonianMercury	1
1805	2	14	CaledonianMercury	4	1805	2	6	TheAberdeenJournal	1
1805	2	14	TheDerbyMercury	1	1805	2	9	JacksonsOxfordJournal	2
1805	2	14	TrewmansExeterFlyingPost	2	1805	2	9	JacksonsOxfordJournal	2
1805	2	16	JacksonsOxfordJournal	1	1805	2	14	CaledonianMercury	2
1805	2	18	CaledonianMercury	2	1805	2	15	TheMorningChronicle	3
1805	2	18	HampshireTelegraphandSussexChronicleetc	4	1805	2	15	TheMorningChronicle	3
1805	2	20	TheAberdeenJournal	1	1805	1	24	CaledonianMercury	4
1805	2	20	TheAberdeenJournal	2	1805	2	18	HampshireTelegraphandSussexChronicleetc	4
1805	2	20	TheAberdeenJournal	3	1805	2	14	CaledonianMercury	3
1805	2	21	TheDerbyMercury	2	1805	2	18	TheMorningChronicle	3
1805	2	21	TrewmansExeterFlyingPost	1	1805	2	16	TheMorningChronicle	4
1805	2	23	CaledonianMercury	2	1805	2	19	TheMorningChronicle	2
1805	2	23	CobbettsWeeklyPoliticalRegister	1	1805	2	20	TheAberdeenJournal	2
1805	2	23	CobbettsWeeklyPoliticalRegister	2	1805	2	21	TheDerbyMercury	2
1805	2	23	CobbettsWeeklyPoliticalRegister	4	1805	2	18	CaledonianMercury	2
1805	2	23	CobbettsWeeklyPoliticalRegister	6	1805	2	18	CaledonianMercury	2
1805	2	23	CobbettsWeeklyPoliticalRegister	11	1805	2	18	CaledonianMercury	2
1805	2	23	CobbettsWeeklyPoliticalRegister	13	1805	2	21	CaledonianMercury	2
1805	2	23	CobbettsWeeklyPoliticalRegister	14	1805	2	18	HampshireTelegraphandSussexChronicleetc	4
1805	2	23	JacksonsOxfordJournal	4	1805	2	21	TheDerbyMercury	2
1805	2	23	TheIpswichJournal	1	1805	2	21	TheDerbyMercury	2
1805	2	23	TheNewcastleCourantetc	2	1805	2	21	TheDerbyMercury	2
1805	2	25	CaledonianMercury	2	1805	2	21	TheMorningChronicle	3
1805	2	25	CaledonianMercury	4	1805	2	14	TrewmansExeterFlyingPost	3
1805	2	25	HampshireTelegraphandSussexChronicleetc	4	1805	2	21	TheDerbyMercury	1
1805	2	25	MorningChronicle	2	1805	2	4	HampshireTelegraphandSussexChronicleetc	1
1805	2	27	TheAberdeenJournal	1	1805	1	24	CaledonianMercury	4
1805	2	27	TheAberdeenJournal	2	1805	2	23	CobbettsWeeklyPoliticalRegister	4
1805	2	28	CaledonianMercury	1	1805	2	27	TheAberdeenJournal	2
1805	2	28	CaledonianMercury	2	1805	2	26	TheMorningChronicle	2
1805	2	28	TheDerbyMercury	3	1805	2	23	JacksonsOxfordJournal	2
1805	2	28	TheDerbyMercury	4	1805	1	17	TrewmansExeterFlyingPost	3
