1815.07.02_TheExaminer_0003,1815.07.01_Jackson'sOxfordJournal_0002
1815.07.02_TheExaminer_0014,1815.07.01_Jackson'sOxfordJournal_0003
1815.07.03_CaledonianMercury_0002,1815.07.01_Jackson'sOxfordJournal_0003
