1827.09.02_TheExaminer_0003,1827.09.01_TheLeedsMercury_0004
1827.09.03_CaledonianMercury_0001,1827.09.01_TheNewcastleCourantetc_0003
1827.09.03_CaledonianMercury_0002,1827.09.01_TheIpswichJournal_0002
