1809.04.02_TheExaminer_0007,1809.04.01_CaledonianMercury_0002
1809.04.03_CaledonianMercury_0001,1809.04.01_Jackson'sOxfordJournal_0004
1809.04.03_CaledonianMercury_0002,1809.04.02_TheExaminer_0012
