1826.10.02_GlasgowHerald_0002,1826.10.01_TheExaminer_0010
1826.10.02_HampshireTelegraphandSussexChronicleetc_0004,1826.10.01_TheMorningChronicle_0004
1826.10.02_TheBristolMercury_0004,1826.10.01_TheExaminer_0003
