Target_Year	Target_Month	Target_Day	Target	Target_Page	Source_Year	Source_Month	Source_Day	Source	Source_Page
1808	1	7	TheDerbyMercury	1	1808	1	4	HampshireTelegraphandSussexChronicleetc	4
1808	1	23	TheLeedsMercury	4	1808	1	21	TheDerbyMercury	1
1808	1	27	TheAberdeenJournal	2	1808	1	23	JacksonsOxfordJournal	2
1808	1	28	TheDerbyMercury	4	1808	1	25	CaledonianMercury	2
1808	1	28	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	3	1808	1	11	CaledonianMercury	1
1808	2	3	TheAberdeenJournal	2	1808	1	30	TheIpswichJournal	2
1808	2	4	TheDerbyMercury	4	1808	1	30	JacksonsOxfordJournal	1
1808	2	6	JacksonsOxfordJournal	4	1808	1	14	TheDerbyMercury	4
1808	2	6	TheLeedsMercury	4	1808	2	2	CaledonianMercury	2
1808	2	10	TheAberdeenJournal	2	1808	1	21	CaledonianMercury	1
1808	2	11	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	3	1808	2	3	TheAberdeenJournal	2
1808	2	13	JacksonsOxfordJournal	4	1808	2	4	TheDerbyMercury	4
1808	2	13	TheLeedsMercury	4	1808	2	2	CaledonianMercury	2
1808	2	15	CaledonianMercury	1	1808	2	13	JacksonsOxfordJournal	4
1808	2	20	JacksonsOxfordJournal	4	1808	1	14	TheDerbyMercury	4
1808	2	23	TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser	4	1808	2	22	CaledonianMercury	2
1808	2	25	TheDerbyMercury	4	1808	2	20	JacksonsOxfordJournal	2
1808	2	27	JacksonsOxfordJournal	4	1808	2	25	CaledonianMercury	2
1808	3	1	TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser	2	1808	2	29	CaledonianMercury	3
1808	3	2	TheAberdeenJournal	2	1808	2	27	JacksonsOxfordJournal	2
1808	3	3	TheDerbyMercury	4	1808	2	27	JacksonsOxfordJournal	2
1808	3	5	JacksonsOxfordJournal	4	1808	3	1	TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser	1
1808	3	10	TheDerbyMercury	4	1808	2	20	JacksonsOxfordJournal	4
1808	3	10	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	3	1808	1	9	JacksonsOxfordJournal	4
1808	3	12	JacksonsOxfordJournal	4	1808	3	10	CaledonianMercury	2
1808	3	14	CaledonianMercury	3	1808	2	11	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	3
1808	3	24	TheDerbyMercury	4	1808	3	16	TheMorningChronicle	1
1808	3	26	JacksonsOxfordJournal	1	1808	3	24	TheDerbyMercury	1
