1815.12.02_CaledonianMercury_0004,1815.12.01_LiverpoolMercuryetc_0002
1815.12.03_TheExaminer_0010,1815.12.02_Cobbett'sWeeklyPoliticalRegister_0011
1815.12.03_TheExaminer_0011,1815.12.02_Cobbett'sWeeklyPoliticalRegister_0013
1815.12.04_CaledonianMercury_0002,1815.12.02_TheMorningChronicle_0002
