Target_Year	Target_Month	Target_Day	Target	Target_Page	Source_Year	Source_Month	Source_Day	Source	Source_Page
1802	1	7	TrewmansExeterFlyingPost	2	1802	1	2	CaledonianMercury	2
1802	1	9	JacksonsOxfordJournal	1	1802	1	7	CaledonianMercury	2
1802	1	16	JacksonsOxfordJournal	1	1802	1	14	TrewmansExeterFlyingPost	4
1802	1	16	JacksonsOxfordJournal	4	1802	1	12	TheMorningChronicle	3
1802	1	18	CaledonianMercury	3	1802	1	13	TheAberdeenJournal	4
1802	1	21	TheDerbyMercury	3	1802	1	13	TheMorningChronicle	4
1802	1	21	TrewmansExeterFlyingPost	2	1802	1	13	TheMorningChronicle	1
1802	1	28	TheDerbyMercury	3	1802	1	14	TrewmansExeterFlyingPost	2
1802	1	28	TrewmansExeterFlyingPost	2	1802	1	23	TheIpswichJournal	2
1802	1	30	JacksonsOxfordJournal	2	1802	1	18	PortsmouthTelegraphorMottleysNavalandMilitaryJournal	2
1802	2	1	PortsmouthTelegraphorMottleysNavalandMilitaryJournal	6	1802	1	16	CobbettsAnnualRegister	10
1802	2	3	TheAberdeenJournal	3	1802	1	28	CaledonianMercury	3
1802	2	4	TrewmansExeterFlyingPost	3	1802	1	30	JacksonsOxfordJournal	2
1802	2	6	JacksonsOxfordJournal	1	1802	2	4	TrewmansExeterFlyingPost	3
1802	2	15	MottleysTelegraphandPortsmouthGazette	6	1802	2	4	TheMorningChronicle	2
1802	2	18	TrewmansExeterFlyingPost	3	1802	2	6	JacksonsOxfordJournal	1
1802	2	27	JacksonsOxfordJournal	1	1802	2	25	TheDerbyMercury	1
1802	3	3	TheAberdeenJournal	3	1802	3	1	HampshireTelegraph&PortsmouthGazette	4
1802	3	4	TheDerbyMercury	3	1802	2	27	TheIpswichJournal	2
1802	3	6	JacksonsOxfordJournal	4	1802	3	4	TheDerbyMercury	2
1802	3	6	TheIpswichJournal	4	1802	3	4	TheDerbyMercury	3
1802	3	18	TrewmansExeterFlyingPost	2	1802	3	13	JacksonsOxfordJournal	2
1802	3	25	TheDerbyMercury	3	1802	3	20	JacksonsOxfordJournal	4
1802	3	25	TrewmansExeterFlyingPost	2	1802	3	20	JacksonsOxfordJournal	4
1802	3	27	JacksonsOxfordJournal	2	1802	3	25	TrewmansExeterFlyingPost	2
1802	3	27	JacksonsOxfordJournal	4	1802	3	11	TrewmansExeterFlyingPost	3
1802	3	27	TheIpswichJournal	4	1802	3	25	TrewmansExeterFlyingPost	2
1802	4	1	TrewmansExeterFlyingPost	3	1802	3	27	JacksonsOxfordJournal	2
1802	4	3	JacksonsOxfordJournal	1	1802	3	25	TrewmansExeterFlyingPost	2
1802	4	3	JacksonsOxfordJournal	2	1802	3	31	TheMorningChronicle	2
1802	4	3	TheIpswichJournal	1	1802	4	1	TrewmansExeterFlyingPost	3
1802	4	5	HampshireTelegraph&PortsmouthGazette	2	1802	2	22	MottleysTelegraphandPortsmouthGazette	7
1802	4	5	HampshireTelegraph&PortsmouthGazette	4	1802	4	3	JacksonsOxfordJournal	2
1802	4	10	JacksonsOxfordJournal	2	1802	4	8	TheMorningChronicle	3
1802	4	10	JacksonsOxfordJournal	4	1802	3	25	TrewmansExeterFlyingPost	2
1802	4	21	TheAberdeenJournal	2	1802	4	15	CaledonianMercury	3
1802	4	24	JacksonsOxfordJournal	1	1802	4	22	TrewmansExeterFlyingPost	1
1802	4	28	TheAberdeenJournal	1	1802	1	21	TheDerbyMercury	3
1802	4	28	TheAberdeenJournal	3	1802	4	24	JacksonsOxfordJournal	4
1802	4	29	TheDerbyMercury	3	1802	4	26	CaledonianMercury	3
1802	6	24	TheDerbyMercury	3	1802	4	15	TrewmansExeterFlyingPost	2
1802	7	1	TheDerbyMercury	3	1802	4	10	JacksonsOxfordJournal	4
1802	7	3	JacksonsOxfordJournal	4	1802	7	1	TheDerbyMercury	2
1802	7	3	TheIpswichJournal	4	1802	7	1	TheDerbyMercury	3
1802	1	4	CaledonianMercury	2	1802	1	2	JacksonsOxfordJournal	2
1802	1	4	CaledonianMercury	3	1802	1	2	TheMorningChronicle	3
1802	1	7	CaledonianMercury	1	1802	1	1	TheMorningChronicle	2
1802	1	7	CaledonianMercury	2	1802	1	4	TheMorningChronicle	2
1802	1	7	TrewmansExeterFlyingPost	4	1802	1	5	TheMorningChronicle	3
1802	1	9	CaledonianMercury	2	1802	1	7	TheMorningChronicle	3
1802	1	9	TheIpswichJournal	2	1802	1	6	TheMorningChronicle	3
1802	1	11	CaledonianMercury	1	1802	1	7	TheDerbyMercury	1
1802	1	11	CaledonianMercury	2	1802	1	8	TheMorningChronicle	2
1802	1	13	TheAberdeenJournal	1	1802	1	4	CaledonianMercury	4
