1809.11.04_CaledonianMercury_0002,1809.11.01_TheMorningChronicle_0002
1809.11.04_CaledonianMercury_0004,1809.11.01_TheAberdeenJournal_0004
1809.11.06_CaledonianMercury_0003,1809.11.04_TheMorningChronicle_0002
1809.11.08_TheAberdeenJournal_0002,1809.11.02_CaledonianMercury_0002
1809.11.08_TheAberdeenJournal_0003,1809.11.04_Jackson'sOxfordJournal_0004
1809.11.09_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1809.11.08_TheAberdeenJournal_0003
1809.11.11_CaledonianMercury_0002,1809.11.07_TheMorningChronicle_0002
1809.11.13_CaledonianMercury_0002,1809.11.10_TheMorningChronicle_0002
1809.11.13_CaledonianMercury_0003,1809.11.11_TheMorningChronicle_0002
