1801.02.17_TheHullPacket_0004,1800.12.18_TheDerbyMercury_0003
1801.03.05_TheDerbyMercury_0003,1800.12.11_Trewman'sExeterFlyingPost_0001
1801.03.09_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0006,1800.12.23_TheHullPacket_0001
1801.03.14_Jackson'sOxfordJournal_0001,1800.12.25_Trewman'sExeterFlyingPost_0004
1801.03.16_TheAberdeenJournal_0003,1800.12.23_TheHullPacket_0001
1801.03.21_TheIpswichJournal_0001,1800.12.27_Jackson'sOxfordJournal_0001
1801.03.30_TheAberdeenJournal_0003,1800.12.04_Trewman'sExeterFlyingPost_0004
1801.05.02_CaledonianMercury_0004,1800.12.23_TheHullPacket_0001
1801.05.04_TheAberdeenJournal_0001,1800.12.23_TheHullPacket_0001
1801.05.23_Jackson'sOxfordJournal_0004,1800.12.25_Trewman'sExeterFlyingPost_0004
1801.06.18_TheDerbyMercury_0004,1800.12.23_TheHullPacket_0002
1801.06.23_TheHullPacket_0001,1800.12.25_TheDerbyMercury_0001
1801.06.26_MorningChronicle_0002,1800.12.23_TheHullPacket_0002
