1813.07.03_TheLeedsMercury_0003,1813.07.01_CaledonianMercury_0004
1813.07.05_TheMorningChronicle_0001,1813.07.03_TheLeedsMercury_0005
1813.07.05_TheMorningChronicle_0002,1813.07.03_TheLeedsMercury_0005
