YEAR	MONTH	DAY	TITLE	PAGE
1828	11	01	TheMorningChronicle	0001
1828	11	01	TheNewcastleCourantetc	0004
1828	11	02	TheExaminer	0008
1828	11	03	TheMorningChronicle	0004
1828	11	01	TheIpswichJournal	0004
1828	11	03	CaledonianMercury	0002
1828	11	01	TheMorningChronicle	0002
1828	11	01	TheIpswichJournal	0002
1828	11	04	TheBelfastNews-Letter	0002
1828	11	04	TheMorningChronicle	0003
1828	11	02	TheExaminer	0005
1828	11	01	TheNewcastleCourantetc	0001
1828	11	03	TheMorningChronicle	0003
1828	11	04	TheMorningChronicle	0002
1828	11	01	TheMorningChronicle	0003
1828	11	07	TheMorningChronicle	0003
1828	11	07	TheMorningChronicle	0004
1828	11	08	TheIpswichJournal	0002
1828	11	06	TheMorningChronicle	0003
1828	11	08	TheMorningChronicle	0003
1828	11	07	TheManchesterTimes	0007
1828	11	07	TheManchesterTimes	0003
1828	11	02	TheExaminer	0002
1828	11	05	TheMorningChronicle	0002
1828	11	11	TheMorningChronicle	0002
1828	11	11	TheMorningChronicle	0003
1828	11	05	TheMorningChronicle	0003
1828	11	10	HampshireTelegraphandSussexChronicleetc	0003
1828	11	10	TheMorningChronicle	0001
1828	11	11	TheBristolMercury	0003
1828	11	09	TheExaminer	0001
1828	11	08	Cobbett'sWeeklyPoliticalRegister	0010
1828	11	12	TheMorningChronicle	0002
1828	11	07	LiverpoolMercuryetc	0007
1828	11	14	TheBelfastNews-Letter	0001
1828	11	14	TheBelfastNews-Letter	0002
1828	11	14	LiverpoolMercuryetc	0005
1828	11	07	TheMorningChronicle	0002
1828	11	10	TheMorningChronicle	0002
1828	11	11	TheMorningChronicle	0004
1828	11	13	TheMorningChronicle	0004
1828	11	14	TheMorningChronicle	0003
1828	11	13	TheMorningChronicle	0001
1828	11	13	TheMorningChronicle	0003
1828	11	03	HampshireTelegraphandSussexChronicleetc	0001
1828	11	13	TheMorningChronicle	0002
1828	11	15	TheLeedsMercury	0002
1828	11	13	CaledonianMercury	0004
1828	11	18	TheMorningChronicle	0002
1828	11	18	TheMorningChronicle	0003
1828	11	17	CaledonianMercury	0003
1828	11	14	TheMorningChronicle	0002
1828	11	15	Cobbett'sWeeklyPoliticalRegister	0006
1828	11	15	Cobbett'sWeeklyPoliticalRegister	0008
1828	11	15	Cobbett'sWeeklyPoliticalRegister	0010
1828	11	18	TheMorningChronicle	0001
1828	11	16	TheExaminer	0012
1828	11	19	TheMorningChronicle	0003
1828	11	21	LiverpoolMercuryetc	0008
1828	11	20	TheMorningChronicle	0001
1828	11	15	TheMorningChronicle	0004
1828	11	19	TheMorningChronicle	0001
1828	11	15	TheMorningChronicle	0002
1828	11	15	TheMorningChronicle	0003
1828	11	17	TheMorningChronicle	0002
1828	11	21	TheBelfastNews-Letter	S0002
1828	11	20	TheMorningChronicle	0003
1828	11	22	TheMorningChronicle	0002
1828	11	22	TheMorningChronicle	0004
1828	11	21	TheBelfastNews-Letter	S0001
1828	11	21	TheMorningChronicle	0001
1828	11	23	TheExaminer	0005
1828	11	22	TheMorningChronicle	0003
1828	11	13	CaledonianMercury	0003
1828	11	23	TheExaminer	0014
1828	11	19	TheMorningChronicle	0002
1828	11	23	TheExaminer	0012
1828	11	20	CaledonianMercury	0003
1828	11	08	TheNewcastleCourantetc	0003
1828	11	22	TheMorningChronicle	0001
1828	11	25	TheBelfastNews-Letter	0002
1828	11	17	TheMorningChronicle	0004
1828	11	21	TheMorningChronicle	0003
1828	11	26	TheDerbyMercury	0004
1828	11	27	TheMorningChronicle	0001
1828	11	26	TheMorningChronicle	0003
1828	11	26	TheMorningChronicle	0001
1828	11	15	TheLeedsMercury	0003
1828	11	23	TheExaminer	0001
1828	11	25	TheMorningChronicle	0003
1828	11	26	TheMorningChronicle	0004
1828	11	27	TheMorningChronicle	0003
1828	11	24	TheMorningChronicle	0003
1828	11	25	TheMorningChronicle	0001
1828	11	21	TheMorningChronicle	0002
1828	11	24	TheMorningChronicle	0002
1828	11	29	TheMorningChronicle	0004
1828	11	27	TheMorningChronicle	0002
1828	11	28	TheMorningChronicle	0003
1828	11	28	TheManchesterTimes	0003
1828	11	24	TheMorningChronicle	0004
1828	11	25	TheMorningChronicle	0004
1828	11	28	TheBelfastNews-Letter	0002
1828	11	29	TheMorningChronicle	0002
1828	11	25	TheHullPacketandHumberMercury	0002
1828	11	23	TheExaminer	0011
1828	11	30	TheExaminer	0002
1828	11	26	TheMorningChronicle	0002
1828	11	19	TheDerbyMercury	0002
1828	11	29	TheMorningChronicle	0001
1828	11	29	CaledonianMercury	0003
1828	11	19	TheMorningChronicle	0004
1828	11	30	TheExaminer	0015
1828	11	22	TheNewcastleCourantetc	0001
1828	11	28	LiverpoolMercuryetc	0005
1828	11	21	LiverpoolMercuryetc	0005
1828	11	28	LiverpoolMercuryetc	0003
1828	11	17	CaledonianMercury	0001
1828	11	07	LiverpoolMercuryetc	0003
