YEAR	MONTH	DAY	TITLE	PAGE
1821	10	01	CaledonianMercury	0003
1821	10	01	CaledonianMercury	0002
1821	10	01	CaledonianMercury	0004
1821	10	01	Freeman'sJournalandDailyCommercialAdvertiser	0003
1821	10	01	GlasgowHerald	0002
1821	10	03	Freeman'sJournalandDailyCommercialAdvertiser	0002
1821	10	04	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0004
1821	10	05	LiverpoolMercuryetc	0005
1821	10	04	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001
1821	10	05	LiverpoolMercuryetc	0007
1821	10	06	Jackson'sOxfordJournal	0002
1821	10	06	Freeman'sJournalandDailyCommercialAdvertiser	0002
1821	10	04	CaledonianMercury	0002
1821	10	06	Freeman'sJournalandDailyCommercialAdvertiser	0004
1821	10	10	Freeman'sJournalandDailyCommercialAdvertiser	0002
1821	10	10	TheAberdeenJournal	0002
1821	10	08	CaledonianMercury	0002
1821	10	08	CaledonianMercury	0003
1821	10	11	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0004
1821	10	12	Freeman'sJournalandDailyCommercialAdvertiser	0002
1821	10	12	LiverpoolMercuryetc	0005
1821	10	07	TheExaminer	0001
1821	10	12	Freeman'sJournalandDailyCommercialAdvertiser	0003
1821	10	13	TheLeedsMercury	0002
1821	10	06	Cobbett'sWeeklyPoliticalRegister	0024
1821	10	15	CaledonianMercury	0003
1821	10	08	CaledonianMercury	0004
1821	10	15	CaledonianMercury	0002
1821	10	14	TheExaminer	0008
1821	10	15	CaledonianMercury	0004
1821	10	18	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0004
1821	10	18	CaledonianMercury	0002
1821	10	18	Freeman'sJournalandDailyCommercialAdvertiser	0003
1821	10	17	TheDerbyMercury	0001
1821	10	20	Jackson'sOxfordJournal	0002
1821	10	22	CaledonianMercury	0002
1821	10	22	CaledonianMercury	0003
1821	10	22	Freeman'sJournalandDailyCommercialAdvertiser	0003
1821	10	22	Freeman'sJournalandDailyCommercialAdvertiser	0004
1821	10	25	CaledonianMercury	0002
1821	10	20	TheBristolMercury	0001
1821	10	21	TheExaminer	0012
1821	10	21	TheExaminer	0013
1821	10	26	Freeman'sJournalandDailyCommercialAdvertiser	0004
1821	10	16	Freeman'sJournalandDailyCommercialAdvertiser	0003
1821	10	25	CaledonianMercury	0004
1821	10	27	TheLeedsMercury	0002
1821	10	27	TheBristolMercury	0002
1821	10	27	Freeman'sJournalandDailyCommercialAdvertiser	0004
1821	10	18	CaledonianMercury	0003
1821	10	27	CaledonianMercury	0002
1821	10	30	Freeman'sJournalandDailyCommercialAdvertiser	0002
1821	10	31	Freeman'sJournalandDailyCommercialAdvertiser	0002
1821	10	27	Freeman'sJournalandDailyCommercialAdvertiser	0003
1821	10	29	CaledonianMercury	0003
1821	10	28	TheExaminer	0007
1821	10	28	TheExaminer	0013
1821	10	31	Freeman'sJournalandDailyCommercialAdvertiser	0003
1821	10	13	TheLeedsMercury	0003
1821	10	31	Freeman'sJournalandDailyCommercialAdvertiser	0004
1821	10	24	TheAberdeenJournal	0001
