1821.08.02_CaledonianMercury_0002,
1821.08.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,
1821.08.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,
1821.08.02_CaledonianMercury_0004,
1821.08.03_LiverpoolMercuryetc_0008,
1821.08.01_Freeman'sJournalandDailyCommercialAdvertiser_0004,
1821.08.04_Jackson'sOxfordJournal_0002,
1821.08.04_TheBristolMercury_0001,
1821.08.02_Freeman'sJournalandDailyCommercialAdvertiser_0004,
1821.08.04_TheBristolMercury_0004,
1821.08.04_Freeman'sJournalandDailyCommercialAdvertiser_0003,
1821.08.05_TheExaminer_0008,
1821.08.04_Freeman'sJournalandDailyCommercialAdvertiser_0001,
1821.08.04_TheBristolMercury_0003,
1821.08.06_GlasgowHerald_0002,
1821.08.08_TheDerbyMercury_0001,
1821.08.06_CaledonianMercury_0003,
1821.08.10_GlasgowHerald_0002,
1821.08.10_LiverpoolMercuryetc_0008,
1821.08.04_Cobbett'sWeeklyPoliticalRegister_0002,
1821.08.04_Cobbett'sWeeklyPoliticalRegister_0003,
1821.08.04_Cobbett'sWeeklyPoliticalRegister_0004,
1821.08.04_Cobbett'sWeeklyPoliticalRegister_0005,
1821.08.04_Cobbett'sWeeklyPoliticalRegister_0006,
1821.08.04_Cobbett'sWeeklyPoliticalRegister_0007,
1821.08.04_Cobbett'sWeeklyPoliticalRegister_0008,
1821.08.08_TheDerbyMercury_0002,
1821.08.06_GlasgowHerald_0004,
1821.08.11_Jackson'sOxfordJournal_0004,
1821.08.11_TheIpswichJournal_0004,
1821.08.12_TheExaminer_0003,
1821.08.15_TheDerbyMercury_0001,
1821.08.16_CaledonianMercury_0003,
1821.08.16_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,
1821.08.06_CaledonianMercury_0001,
1821.08.10_LiverpoolMercuryetc_0007,
1821.08.04_Jackson'sOxfordJournal_0003,
1821.08.18_Jackson'sOxfordJournal_0002,
1821.08.17_LiverpoolMercuryetc_0006,
1821.08.13_GlasgowHerald_0002,
1821.08.16_CaledonianMercury_0004,
1821.08.18_TheNewcastleCourantetc_0004,
1821.08.19_TheExaminer_0005,
1821.08.18_Freeman'sJournalandDailyCommercialAdvertiser_0005,
1821.08.24_LiverpoolMercuryetc_0005,
1821.08.23_CaledonianMercury_0002,
1821.08.25_CaledonianMercury_0002,
1821.08.25_CaledonianMercury_0003,
1821.08.26_TheExaminer_0004,
1821.08.25_TheLeedsMercury_0001,
1821.08.30_CaledonianMercury_0002,
1821.08.30_Freeman'sJournalandDailyCommercialAdvertiser_0004,
1821.08.28_Freeman'sJournalandDailyCommercialAdvertiser_0002,
1821.08.30_CaledonianMercury_0003,
1821.08.29_TheDerbyMercury_0004,
1821.08.30_Freeman'sJournalandDailyCommercialAdvertiser_0003,
1821.08.30_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,
1821.08.26_TheExaminer_0014,
1821.08.26_TheExaminer_0015,
1821.08.27_GlasgowHerald_0004,
1821.08.24_LiverpoolMercuryetc_0006,
1821.08.16_CaledonianMercury_0001,
1821.08.04_TheLeedsMercury_0002,
