YEAR	MONTH	DAY	TITLE	PAGE
1826	06	01	CaledonianMercury	0002
1826	06	01	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0002
1826	06	01	TheMorningChronicle	0004
1826	06	01	TheMorningChronicle	0002
1826	06	02	LiverpoolMercuryetc	0008
1826	06	02	TheMorningChronicle	0003
1826	06	02	GlasgowHerald	0002
1826	06	01	CaledonianMercury	0004
1826	06	03	TheLeedsMercury	0003
1826	06	02	GlasgowHerald	0004
1826	06	03	TheIpswichJournal	0001
1826	06	03	TheNewcastleCourantetc	0001
1826	06	01	TheMorningChronicle	0003
1826	06	03	CaledonianMercury	0003
1826	06	01	CaledonianMercury	0001
1826	06	03	CaledonianMercury	0001
1826	06	01	CaledonianMercury	0003
