1826.09.01_GlasgowHerald_0002,
1826.09.01_GlasgowHerald_0004,
1826.09.02_TheLeedsMercury_0004,
1826.09.01_TheMorningChronicle_0001,
1826.09.02_TheMorningChronicle_0001,
1826.09.02_TheMorningChronicle_0002,
1826.09.02_TheMorningChronicle_0003,
1826.09.02_CaledonianMercury_0003,
