1826.11.01_TheDerbyMercury_0002,
1826.11.01_TheMorningChronicle_0002,
1826.11.02_CaledonianMercury_0003,
1826.11.03_GlasgowHerald_0003,
1826.11.03_GlasgowHerald_0001,
1826.11.03_TheMorningChronicle_0002,
1826.11.01_TheMorningChronicle_0004,
1826.11.04_CaledonianMercury_0002,
1826.11.04_TheMorningChronicle_0002,
1826.11.02_CaledonianMercury_0004,
1826.11.04_TheMorningChronicle_0003,
