YEAR	MONTH	DAY	TITLE	PAGE
1808	01	02	CaledonianMercury	0002
1808	01	02	Jackson'sOxfordJournal	0002
1808	01	02	Jackson'sOxfordJournal	0004
1808	01	03	TheExaminer	0005
1808	01	06	TheMorningChronicle	0002
1808	01	07	TheMorningChronicle	0002
1808	01	04	CaledonianMercury	0001
1808	01	08	TheMorningChronicle	0002
1808	01	10	TheExaminer	0007
1808	01	09	Jackson'sOxfordJournal	0001
1808	01	10	TheExaminer	0006
1808	01	11	HampshireTelegraphandSussexChronicleetc	0003
1808	01	11	TheMorningChronicle	0002
1808	01	11	TheMorningChronicle	0003
1808	01	13	TheMorningChronicle	0002
1808	01	12	TheMorningChronicle	0003
1808	01	15	TheMorningChronicle	0002
1808	01	16	TheMorningChronicle	0003
1808	01	17	TheExaminer	0006
1808	01	14	CaledonianMercury	0003
1808	01	18	CaledonianMercury	0003
1808	01	20	TheAberdeenJournal	0001
1808	01	18	TheMorningChronicle	0002
1808	01	18	TheMorningChronicle	0003
1808	01	16	TheMorningChronicle	0001
1808	01	20	TheMorningChronicle	0002
1808	01	22	TheMorningChronicle	0001
1808	01	22	TheMorningChronicle	0003
1808	01	22	TheMorningChronicle	0004
1808	01	13	TheAberdeenJournal	0004
1808	01	27	TheMorningChronicle	0003
1808	01	28	CaledonianMercury	0003
1808	01	28	TheMorningChronicle	0003
1808	01	22	TheMorningChronicle	0002
1808	01	25	TheMorningChronicle	0002
1808	01	27	TheMorningChronicle	0002
1808	01	30	TheIpswichJournal	0002
1808	01	13	TheMorningChronicle	0003
1808	01	31	TheExaminer	0005
1808	01	27	TheAberdeenJournal	0004
1808	01	21	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003
1808	01	21	TheDerbyMercury	0004
