1827.05.04_LiverpoolMercuryetc_0002,1827.05.02_TheDerbyMercury_0002
1827.05.05_CaledonianMercury_0002,1827.05.02_TheMorningChronicle_0002
1827.05.05_CaledonianMercury_0002,1827.05.02_TheMorningChronicle_0003
1827.05.05_TheIpswichJournal_0004,1827.05.04_LiverpoolMercuryetc_0002
