1811.05.04_CaledonianMercury_0002,1811.05.01_TheMorningChronicle_0002
1811.05.04_Cobbett'sWeeklyPoliticalRegister_0013,1811.05.02_CaledonianMercury_0002
1811.05.04_Cobbett'sWeeklyPoliticalRegister_0015,1811.05.04_CaledonianMercury_0002
1811.05.04_Jackson'sOxfordJournal_0004,1811.05.02_TheDerbyMercury_0002
1811.05.04_TheLeedsMercury_0002,1811.05.04_CaledonianMercury_0002
1811.05.06_CaledonianMercury_0002,1811.05.01_Cobbett'sWeeklyPoliticalRegister_0010
1811.05.06_CaledonianMercury_0002,1811.05.01_Cobbett'sWeeklyPoliticalRegister_0011
1811.05.06_CaledonianMercury_0002,1811.05.02_TheMorningChronicle_0003
1811.05.06_CaledonianMercury_0004,1811.05.04_Cobbett'sWeeklyPoliticalRegister_0016
1811.05.06_HampshireTelegraphandSussexChronicleetc_0004,1811.05.04_Jackson'sOxfordJournal_0004
