1815.10.02_CaledonianMercury_0002,1815.10.01_TheExaminer_0008
1815.10.06_LiverpoolMercuryetc_0003,1815.10.01_TheExaminer_0005
1815.10.06_LiverpoolMercuryetc_0003,1815.10.05_CaledonianMercury_0002
