1806.07.19_Jackson'sOxfordJournal_0002,1806.07.19_CaledonianMercury_0003
1806.07.19_TheNewcastleCourantetc_0002,1806.07.10_TheMorningChronicle_0002
1806.07.19_TheNewcastleCourantetc_0002,1806.07.14_CaledonianMercury_0002
1806.07.19_TheNewcastleCourantetc_0002,1806.07.19_Jackson'sOxfordJournal_0004
1806.07.19_TheNewcastleCourantetc_0004,1806.07.15_TheMorningChronicle_0003
1806.07.19_TheNewcastleCourantetc_0004,1806.07.16_TheMorningChronicle_0002
1806.07.19_TheNewcastleCourantetc_0004,1806.07.19_CaledonianMercury_0002
1806.07.19_TheNewcastleCourantetc_0004,1806.07.19_Jackson'sOxfordJournal_0002
1806.07.21_CaledonianMercury_0002,1806.07.18_TheMorningChronicle_0003
1806.07.21_CaledonianMercury_0002,1806.07.19_Jackson'sOxfordJournal_0003
1806.07.21_CaledonianMercury_0003,1806.07.18_TheMorningChronicle_0003
1806.07.21_CaledonianMercury_0004,1806.07.19_Jackson'sOxfordJournal_0004
1806.07.21_CaledonianMercury_0004,1806.07.19_TheNewcastleCourantetc_0002
1806.07.21_HampshireTelegraphandSussexChronicleetc_0004,1806.07.14_TheMorningChronicle_0003
1806.07.21_HampshireTelegraphandSussexChronicleetc_0004,1806.07.16_TheMorningChronicle_0002
1806.07.21_HampshireTelegraphandSussexChronicleetc_0004,1806.07.19_CaledonianMercury_0002
1806.07.21_HampshireTelegraphandSussexChronicleetc_0004,1806.07.19_Jackson'sOxfordJournal_0002
1806.07.21_HampshireTelegraphandSussexChronicleetc_0004,1806.07.19_Jackson'sOxfordJournal_0004
1806.07.21_HampshireTelegraphandSussexChronicleetc_0004,1806.07.19_TheNewcastleCourantetc_0004
1806.07.21_HampshireTelegraphandSussexChronicleetc_0004,1806.07.21_CaledonianMercury_0004
1806.07.23_TheAberdeenJournal_0001,1806.07.03_Trewman'sExeterFlyingPost_0003
1806.07.23_TheAberdeenJournal_0001,1806.07.05_CaledonianMercury_0001
1806.07.23_TheAberdeenJournal_0001,1806.07.05_CaledonianMercury_0004
1806.07.23_TheAberdeenJournal_0001,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.07.23_TheAberdeenJournal_0001,1806.07.12_CaledonianMercury_0001
1806.07.23_TheAberdeenJournal_0001,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.07.23_TheAberdeenJournal_0001,1806.07.19_CaledonianMercury_0001
1806.07.23_TheAberdeenJournal_0001,1806.07.19_CaledonianMercury_0004
1806.07.23_TheAberdeenJournal_0002,1806.07.17_CaledonianMercury_0002
1806.07.23_TheAberdeenJournal_0002,1806.07.17_CaledonianMercury_0003
1806.07.23_TheAberdeenJournal_0002,1806.07.19_TheNewcastleCourantetc_0004
1806.07.23_TheAberdeenJournal_0003,1806.07.14_CaledonianMercury_0003
1806.07.23_TheAberdeenJournal_0003,1806.07.14_TheMorningChronicle_0003
1806.07.23_TheAberdeenJournal_0003,1806.07.17_CaledonianMercury_0003
1806.07.23_TheAberdeenJournal_0003,1806.07.17_CaledonianMercury_0004
1806.07.23_TheAberdeenJournal_0003,1806.07.19_Jackson'sOxfordJournal_0004
1806.07.23_TheAberdeenJournal_0003,1806.07.19_TheNewcastleCourantetc_0002
1806.07.23_TheAberdeenJournal_0003,1806.07.21_CaledonianMercury_0004
1806.07.23_TheAberdeenJournal_0003,1806.07.21_HampshireTelegraphandSussexChronicleetc_0004
1806.07.24_CaledonianMercury_0001,1806.07.03_Trewman'sExeterFlyingPost_0003
1806.07.24_CaledonianMercury_0001,1806.07.09_TheAberdeenJournal_0004
1806.07.24_CaledonianMercury_0001,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.07.24_CaledonianMercury_0001,1806.07.16_TheAberdeenJournal_0002
1806.07.24_CaledonianMercury_0001,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.07.24_CaledonianMercury_0001,1806.07.23_TheAberdeenJournal_0001
1806.07.24_CaledonianMercury_0002,1806.07.19_TheMorningChronicle_0002
1806.07.24_CaledonianMercury_0002,1806.07.22_TheMorningChronicle_0003
