Match A,Match B,Type,Topic,Meme
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.13_CaledonianMercury_0001,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.14_HullPacket_0001,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.16_DerbyMercury_0002,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.16_DerbyMercury_0003,,,
1800.01.18_CaledonianMercury_0001,1800.01.16_DerbyMercury_0002,,,
1800.01.18_CaledonianMercury_0001,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.18_CaledonianMercury_0002,1800.01.13_PortsmouthTelegraph_0003,,,
1800.01.18_CaledonianMercury_0002,1800.01.16_TrewmansExeterFlyingPost_0003,,,
1800.01.18_CaledonianMercury_0004,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.18_IpswichJournal_0001,1800.01.14_HullPacket_0002,,,
1800.01.18_IpswichJournal_0003,1800.01.18_JacksonsOxfordJournal_0002,,,
1800.01.18_JacksonsOxfordJournal_0001,1800.01.18_CaledonianMercury_0002,,,
1800.01.18_JacksonsOxfordJournal_0002,1800.01.11_CaledonianMercury_0004,,,
1800.01.18_JacksonsOxfordJournal_0002,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.18_JacksonsOxfordJournal_0002,1800.01.18_CaledonianMercury_0002,,,
1800.01.18_JacksonsOxfordJournal_0002,1800.01.18_CaledonianMercury_0004,,,
1800.01.18_JacksonsOxfordJournal_0003,1800.01.16_DerbyMercury_0003,,,
1800.01.18_JacksonsOxfordJournal_0004,1800.01.16_CaledonianMercury_0002,,,
1800.01.20_AberdeenJournal_0001,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.20_AberdeenJournal_0002,1800.01.11_CaledonianMercury_0002,,,
1800.01.20_AberdeenJournal_0002,1800.01.11_JacksonsOxfordJournal_0002,,,
1800.01.20_AberdeenJournal_0002,1800.01.13_CaledonianMercury_0003,,,
1800.01.20_AberdeenJournal_0003,1800.01.14_HullPacket_0002,,,
1800.01.20_AberdeenJournal_0003,1800.01.16_CaledonianMercury_0002,,,
1800.01.20_AberdeenJournal_0003,1800.01.16_DerbyMercury_0002,,,
1800.01.20_AberdeenJournal_0003,1800.01.18_JacksonsOxfordJournal_0004,,,
1800.01.20_AberdeenJournal_0004,1800.01.13_PortsmouthTelegraph_0003,,,
1800.01.20_AberdeenJournal_0004,1800.01.16_TrewmansExeterFlyingPost_0003,,,
1800.01.20_AberdeenJournal_0004,1800.01.18_CaledonianMercury_0002,,,
1800.01.20_CaledonianMercury_0001,1800.01.11_JacksonsOxfordJournal_0001,,,
1800.01.20_CaledonianMercury_0001,1800.01.14_HullPacket_0001,,,
1800.01.20_CaledonianMercury_0001,1800.01.14_HullPacket_0004,,,
1800.01.20_CaledonianMercury_0001,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.20_CaledonianMercury_0003,1800.01.18_JacksonsOxfordJournal_0002,,,
1800.01.20_PortsmouthTelegraph_0001,1800.01.16_CaledonianMercury_0001,,,
1800.01.20_PortsmouthTelegraph_0004,1800.01.09_CaledonianMercury_0003,,,
1800.01.21_HullPacket_0001,1800.01.18_CaledonianMercury_0002,,,
1800.01.21_HullPacket_0001,1800.01.18_JacksonsOxfordJournal_0002,,,
1800.01.23_DerbyMercury_0001,1800.01.18_JacksonsOxfordJournal_0002,,,
1800.01.23_DerbyMercury_0002,1800.01.20_PortsmouthTelegraph_0002,,,
1800.01.23_DerbyMercury_0002,1800.01.21_HullPacket_0003,,,
1800.01.23_DerbyMercury_0002,1800.01.23_CaledonianMercury_0001,,,
1800.01.23_DerbyMercury_0002,1800.01.23_CaledonianMercury_0003,,,
1800.01.23_DerbyMercury_0003,1800.01.07_HullPacket_0001,,,
1800.01.23_DerbyMercury_0003,1800.01.11_IpswichJournal_0004,,,
1800.01.23_DerbyMercury_0003,1800.01.20_CaledonianMercury_0003,,,
1800.01.23_TrewmansExeterFlyingPost_0003,1800.01.23_CaledonianMercury_0003,,,
1800.01.23_TrewmansExeterFlyingPost_0004,1800.01.23_DerbyMercury_0003,,,
1800.01.25_CaledonianMercury_0002,1800.01.23_TrewmansExeterFlyingPost_0003,International,Navy,
1800.01.25_IpswichJournal_0001,1800.01.04_JacksonsOxfordJournal_0002,,,
1800.01.25_IpswichJournal_0002,1800.01.25_JacksonsOxfordJournal_0002,,,
1800.01.25_IpswichJournal_0004,1800.01.23_CaledonianMercury_0001,,,
1800.01.25_JacksonsOxfordJournal_0001,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.25_JacksonsOxfordJournal_0002,1800.01.25_CaledonianMercury_0003,,,
1800.01.25_JacksonsOxfordJournal_0004,1800.01.23_DerbyMercury_0002,,,
1800.01.27_AberdeenJournal_0001,1800.01.14_HullPacket_0001,,,
1800.01.27_AberdeenJournal_0001,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.27_AberdeenJournal_0001,1800.01.18_CaledonianMercury_0004,,,
1800.01.27_AberdeenJournal_0001,1800.01.18_JacksonsOxfordJournal_0002,,,
1800.01.27_AberdeenJournal_0001,1800.01.25_JacksonsOxfordJournal_0001,,,
1800.01.27_AberdeenJournal_0001,1800.01.27_CaledonianMercury_0001,,,
1800.01.27_AberdeenJournal_0002,1800.01.18_CaledonianMercury_0002,,,
1800.01.27_AberdeenJournal_0002,1800.01.18_JacksonsOxfordJournal_0002,,,
1800.01.27_AberdeenJournal_0002,1800.01.20_CaledonianMercury_0002,,,
1800.01.27_AberdeenJournal_0002,1800.01.20_CaledonianMercury_0003,,,
1800.01.27_AberdeenJournal_0002,1800.01.23_DerbyMercury_0002,,,
1800.01.27_AberdeenJournal_0002,1800.01.23_TrewmansExeterFlyingPost_0001,,,
1800.01.27_AberdeenJournal_0003,1800.01.23_CaledonianMercury_0001,,,
1800.01.27_AberdeenJournal_0003,1800.01.23_DerbyMercury_0002,,,
1800.01.27_AberdeenJournal_0003,1800.01.25_IpswichJournal_0004,,,
1800.01.27_AberdeenJournal_0003,1800.01.27_PortsmouthTelegraph_0004,,,
1800.01.27_AberdeenJournal_0004,1800.01.25_JacksonsOxfordJournal_0004,,,
1800.01.27_CaledonianMercury_0001,1800.01.14_HullPacket_0001,,,
1800.01.27_CaledonianMercury_0001,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.27_CaledonianMercury_0001,1800.01.18_JacksonsOxfordJournal_0002,,,
1800.01.27_CaledonianMercury_0001,1800.01.25_JacksonsOxfordJournal_0002,,,
1800.01.27_CaledonianMercury_0001,1800.01.25_JacksonsOxfordJournal_0003,,,
1800.01.27_CaledonianMercury_0002,1800.01.25_IpswichJournal_0002,,,
1800.01.27_CaledonianMercury_0002,1800.01.25_JacksonsOxfordJournal_0002,,,
1800.01.27_CaledonianMercury_0004,1800.01.02_TrewmansExeterFlyingPost_0004,,,
1800.01.27_CaledonianMercury_0004,1800.01.04_JacksonsOxfordJournal_0002,,,
1800.01.27_PortsmouthTelegraph_0002,1800.01.25_IpswichJournal_0002,,,
1800.01.27_PortsmouthTelegraph_0002,1800.01.25_JacksonsOxfordJournal_0002,,,
1800.01.27_PortsmouthTelegraph_0002,1800.01.27_CaledonianMercury_0002,,,
1800.01.27_PortsmouthTelegraph_0003,1800.01.23_TrewmansExeterFlyingPost_0003,International,Navy,
1800.01.27_PortsmouthTelegraph_0003,1800.01.25_CaledonianMercury_0002,International,Navy,
1800.01.27_PortsmouthTelegraph_0004,1800.01.23_CaledonianMercury_0001,,,
1800.01.27_PortsmouthTelegraph_0004,1800.01.25_IpswichJournal_0004,,,
1800.01.28_HullPacket_0001,1800.01.11_IpswichJournal_0001,,,
1800.01.28_HullPacket_0001,1800.01.16_DerbyMercury_0002,,,
1800.01.28_HullPacket_0001,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.28_HullPacket_0001,1800.01.18_CaledonianMercury_0001,,,
1800.01.28_HullPacket_0001,1800.01.23_TrewmansExeterFlyingPost_0003,International,Navy,
1800.01.28_HullPacket_0001,1800.01.25_CaledonianMercury_0002,International,Navy,
1800.01.28_HullPacket_0001,1800.01.25_JacksonsOxfordJournal_0001,International,Military,
1800.01.28_HullPacket_0001,1800.01.25_JacksonsOxfordJournal_0003,,,
1800.01.28_HullPacket_0001,1800.01.27_CaledonianMercury_0001,,,
1800.01.28_HullPacket_0001,1800.01.27_PortsmouthTelegraph_0003,International,Navy,
1800.01.28_HullPacket_0002,1800.01.25_IpswichJournal_0002,,,
1800.01.28_HullPacket_0002,1800.01.25_JacksonsOxfordJournal_0002,,,
1800.01.28_HullPacket_0002,1800.01.27_CaledonianMercury_0002,,,
1800.01.28_HullPacket_0002,1800.01.27_PortsmouthTelegraph_0002,,,
1800.01.28_HullPacket_0003,1800.01.25_IpswichJournal_0002,,,
1800.01.28_HullPacket_0004,1800.01.11_JacksonsOxfordJournal_0001,,,
1800.01.28_HullPacket_0004,1800.01.16_DerbyMercury_0003,,,
1800.01.28_HullPacket_0004,1800.01.20_CaledonianMercury_0001,,,
1800.01.28_HullPacket_0004,1800.01.23_CaledonianMercury_0002,,,
1800.01.28_HullPacket_0004,1800.01.25_IpswichJournal_0001,,,
1800.01.28_HullPacket_0004,1800.01.25_JacksonsOxfordJournal_0004,,,
1800.01.28_HullPacket_0004,1800.01.27_AberdeenJournal_0004,,,
1800.01.30_DerbyMercury_0001,1800.01.25_IpswichJournal_0002,,,
1800.01.30_DerbyMercury_0001,1800.01.25_JacksonsOxfordJournal_0002,,,
1800.01.30_DerbyMercury_0001,1800.01.27_CaledonianMercury_0002,,,
1800.01.30_DerbyMercury_0001,1800.01.27_PortsmouthTelegraph_0002,,,
1800.01.30_DerbyMercury_0001,1800.01.28_HullPacket_0002,,,
1800.01.30_DerbyMercury_0002,1800.01.04_JacksonsOxfordJournal_0002,,,
1800.01.30_DerbyMercury_0002,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.01.30_DerbyMercury_0002,1800.01.18_CaledonianMercury_0001,,,
1800.01.30_DerbyMercury_0002,1800.01.28_HullPacket_0001,,,
1800.01.30_DerbyMercury_0002,1800.01.30_CaledonianMercury_0002,,,
1800.01.30_DerbyMercury_0003,1800.01.25_JacksonsOxfordJournal_0003,,,
1800.01.30_DerbyMercury_0003,1800.01.27_CaledonianMercury_0001,,,
1800.01.30_DerbyMercury_0003,1800.01.28_HullPacket_0001,,,
1800.01.30_DerbyMercury_0003,1800.01.28_HullPacket_0002,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.18_CaledonianMercury_0004,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.18_JacksonsOxfordJournal_0002,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.25_IpswichJournal_0002,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.25_JacksonsOxfordJournal_0002,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.27_AberdeenJournal_0001,,,
