RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1811	10	03	TheDerbyMercury	0002	1811	10	03	CaledonianMercury	0002
1811	10	03	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003	1811	10	03	TheDerbyMercury	0004
1811	10	05	CaledonianMercury	0003	1811	10	03	TheMorningChronicle	0003
1811	10	05	Jackson'sOxfordJournal	0004	1811	10	03	CaledonianMercury	0002
1811	10	05	Jackson'sOxfordJournal	0004	1811	10	03	TheDerbyMercury	0002
1811	10	05	Jackson'sOxfordJournal	0004	1811	10	03	TheDerbyMercury	0004
1811	10	05	Jackson'sOxfordJournal	0004	1811	10	03	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0003
1811	10	05	TheIpswichJournal	0004	1811	10	05	Jackson'sOxfordJournal	0004
1811	10	05	TheLeedsMercury	0002	1811	10	05	CaledonianMercury	0002
