1823.11.01_TheIpswichJournal_0004,1823.11.01_CaledonianMercury_0002
1823.11.01_TheLeedsMercury_0004,1823.11.01_TheIpswichJournal_0004
1823.11.03_CaledonianMercury_0002,1823.11.01_TheIpswichJournal_0004
1823.11.03_HampshireTelegraphandSussexChronicleetc_0002,1823.11.01_TheIpswichJournal_0004
1823.11.03_HampshireTelegraphandSussexChronicleetc_0002,1823.11.01_TheLeedsMercury_0004
1823.11.03_HampshireTelegraphandSussexChronicleetc_0002,1823.11.03_CaledonianMercury_0004
1823.11.03_TheBristolMercury_0001,1823.11.01_TheIpswichJournal_0002
1823.11.03_TheBristolMercury_0002,1823.11.02_TheExaminer_0007
1823.11.03_TheBristolMercury_0004,1823.11.01_TheLeedsMercury_0004
1823.11.03_TheBristolMercury_0004,1823.11.03_HampshireTelegraphandSussexChronicleetc_0002
