1826.04.01_TheIpswichJournal_0004,1826.04.01_CaledonianMercury_0004
1826.04.03_CaledonianMercury_0003,1826.04.01_TheMorningChronicle_0002
1826.04.03_GlasgowHerald_0003,1826.04.01_CaledonianMercury_0003
1826.04.03_TheBristolMercury_0001,1826.04.01_Cobbett'sWeeklyPoliticalRegister_0013
1826.04.03_TheBristolMercury_0001,1826.04.03_CaledonianMercury_0003
1826.04.03_TheBristolMercury_0002,1826.04.01_TheMorningChronicle_0002
1826.04.03_TheBristolMercury_0004,1826.04.03_CaledonianMercury_0002
1826.04.05_TheAberdeenJournal_0004,1826.04.01_CaledonianMercury_0004
1826.04.05_TheDerbyMercury_0001,1826.04.01_TheIpswichJournal_0003
1826.04.05_TheDerbyMercury_0001,1826.04.03_CaledonianMercury_0002
1826.04.05_TheDerbyMercury_0001,1826.04.03_TheBristolMercury_0004
1826.04.05_TheDerbyMercury_0002,1826.04.01_TheIpswichJournal_0002
1826.04.05_TheDerbyMercury_0002,1826.04.03_TheMorningChronicle_0004
1826.04.05_TheDerbyMercury_0002,1826.04.04_TheMorningChronicle_0002
1826.04.06_CaledonianMercury_0002,1826.04.04_TheMorningChronicle_0002
1826.04.06_CaledonianMercury_0002,1826.04.05_TheDerbyMercury_0004
1826.04.06_CaledonianMercury_0003,1826.04.05_TheMorningChronicle_0004
1826.04.06_CaledonianMercury_0004,1826.04.01_TheMorningChronicle_0004
1826.04.07_GlasgowHerald_0001,1826.04.06_CaledonianMercury_0004
1826.04.07_GlasgowHerald_0002,1826.04.06_CaledonianMercury_0003
1826.04.07_GlasgowHerald_0004,1826.04.03_CaledonianMercury_0003
1826.04.07_GlasgowHerald_0004,1826.04.06_CaledonianMercury_0002
1826.04.07_GlasgowHerald_0004,1826.04.06_CaledonianMercury_0003
1826.04.07_LiverpoolMercuryetc_0006,1826.04.06_CaledonianMercury_0002
