1817.11.02_TheExaminer_0006,1817.11.01_TheMorningChronicle_0002
1817.11.03_CaledonianMercury_0002,1817.11.01_TheIpswichJournal_0002
1817.11.03_TheMorningChronicle_0003,1817.11.02_TheExaminer_0007
