1807.05.19_TheHullPacket_0001,1807.05.11_HampshireTelegraphandSussexChronicleetc_0003
1807.05.19_TheHullPacket_0001,1807.05.14_CaledonianMercury_0002
1807.05.19_TheHullPacket_0001,1807.05.14_TheDerbyMercury_0002
1807.05.19_TheHullPacket_0001,1807.05.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1807.05.19_TheHullPacket_0001,1807.05.16_Jackson'sOxfordJournal_0004
1807.05.19_TheHullPacket_0001,1807.05.16_TheNewcastleCourantetc_0002
1807.05.19_TheHullPacket_0003,1807.05.16_Jackson'sOxfordJournal_0002
1807.05.19_TheHullPacket_0004,1807.05.16_TheLeedsMercury_0003
1807.05.20_TheAberdeenJournal_0002,1807.05.19_TheHullPacket_0001
1807.05.20_TheAberdeenJournal_0003,1807.05.11_CaledonianMercury_0003
1807.05.20_TheAberdeenJournal_0003,1807.05.12_TheHullPacket_0004
1807.05.20_TheAberdeenJournal_0003,1807.05.16_TheNewcastleCourantetc_0004
1807.05.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.02_Jackson'sOxfordJournal_0002
1807.05.23_Jackson'sOxfordJournal_0001,1807.05.23_CaledonianMercury_0003
1807.05.23_TheIpswichJournal_0002,1807.05.23_CaledonianMercury_0002
1807.05.23_TheIpswichJournal_0004,1807.05.23_Jackson'sOxfordJournal_0002
1807.05.23_TheNewcastleCourantetc_0002,1807.05.21_TheDerbyMercury_0004
1807.05.25_CaledonianMercury_0001,1807.05.04_HampshireTelegraphandSussexChronicleetc_0001
1807.05.25_CaledonianMercury_0001,1807.05.23_Jackson'sOxfordJournal_0002
1807.05.25_CaledonianMercury_0001,1807.05.23_TheIpswichJournal_0004
1807.05.25_HampshireTelegraphandSussexChronicleetc_0004,1807.05.23_Jackson'sOxfordJournal_0002
1807.05.26_TheHullPacket_0001,1807.05.21_CaledonianMercury_0002
1807.05.26_TheHullPacket_0001,1807.05.23_Jackson'sOxfordJournal_0001
1807.05.26_TheHullPacket_0001,1807.05.23_Jackson'sOxfordJournal_0004
1807.05.26_TheHullPacket_0003,1807.05.23_Jackson'sOxfordJournal_0004
1807.05.26_TheHullPacket_0003,1807.05.23_TheIpswichJournal_0002
1807.05.27_TheAberdeenJournal_0003,1807.05.05_TheHullPacket_0004
1807.05.28_TheDerbyMercury_0004,1807.05.02_Jackson'sOxfordJournal_0002
1807.05.28_TheDerbyMercury_0004,1807.05.23_Jackson'sOxfordJournal_0004
1807.05.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.02_Jackson'sOxfordJournal_0002
1807.05.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.14_TheDerbyMercury_0004
1807.05.30_CaledonianMercury_0002,1807.05.27_TheMorningChronicle_0002
1807.05.30_Jackson'sOxfordJournal_0001,1807.05.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1807.05.30_Jackson'sOxfordJournal_0002,1807.05.30_CaledonianMercury_0002
1807.05.30_TheIpswichJournal_0002,1807.05.30_Jackson'sOxfordJournal_0002
1807.05.30_TheNewcastleCourantetc_0002,1807.05.25_CaledonianMercury_0002
1807.05.30_TheNewcastleCourantetc_0002,1807.05.26_TheHullPacket_0003
1807.05.30_TheNewcastleCourantetc_0002,1807.05.30_Jackson'sOxfordJournal_0001
1807.05.30_TheNewcastleCourantetc_0002,1807.05.30_TheIpswichJournal_0001
1807.05.30_TheNewcastleCourantetc_0003,1807.05.16_Jackson'sOxfordJournal_0004
1807.05.30_TheNewcastleCourantetc_0004,1807.05.30_CaledonianMercury_0003
1807.06.01_HampshireTelegraphandSussexChronicleetc_0004,1807.05.30_Jackson'sOxfordJournal_0001
1807.06.01_HampshireTelegraphandSussexChronicleetc_0004,1807.05.30_Jackson'sOxfordJournal_0002
1807.06.01_HampshireTelegraphandSussexChronicleetc_0004,1807.05.30_TheNewcastleCourantetc_0002
1807.06.02_TheHullPacket_0001,1807.05.04_HampshireTelegraphandSussexChronicleetc_0001
1807.06.02_TheHullPacket_0001,1807.05.23_Jackson'sOxfordJournal_0002
1807.06.02_TheHullPacket_0001,1807.05.23_TheIpswichJournal_0004
1807.06.02_TheHullPacket_0001,1807.05.25_CaledonianMercury_0001
1807.06.02_TheHullPacket_0001,1807.05.30_Jackson'sOxfordJournal_0002
1807.06.02_TheHullPacket_0002,1807.05.30_Jackson'sOxfordJournal_0002
1807.06.02_TheHullPacket_0004,1807.05.28_CaledonianMercury_0003
1807.06.02_TheHullPacket_0004,1807.05.30_Jackson'sOxfordJournal_0002
1807.06.02_TheHullPacket_0004,1807.05.30_Jackson'sOxfordJournal_0004
1807.06.02_TheHullPacket_0004,1807.05.30_TheNewcastleCourantetc_0002
1807.06.03_TheAberdeenJournal_0002,1807.05.30_TheNewcastleCourantetc_0004
1807.06.03_TheAberdeenJournal_0003,1807.05.28_CaledonianMercury_0003
1807.06.03_TheAberdeenJournal_0003,1807.05.30_CaledonianMercury_0003
1807.06.03_TheAberdeenJournal_0003,1807.05.30_Jackson'sOxfordJournal_0002
1807.06.03_TheAberdeenJournal_0003,1807.05.30_TheIpswichJournal_0002
1807.06.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.02_Jackson'sOxfordJournal_0002
1807.06.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.07_TheDerbyMercury_0004
1807.06.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.09_Jackson'sOxfordJournal_0004
1807.06.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.23_Jackson'sOxfordJournal_0002
1807.06.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.23_TheIpswichJournal_0004
1807.06.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.25_CaledonianMercury_0001
1807.06.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.30_Jackson'sOxfordJournal_0001
1807.06.06_Jackson'sOxfordJournal_0001,1807.05.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1807.06.16_TheHullPacket_0001,1807.05.16_Jackson'sOxfordJournal_0004
1807.06.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.23_TheNewcastleCourantetc_0003
1807.06.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.25_CaledonianMercury_0001
1807.06.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.26_TheHullPacket_0001
1807.06.20_CaledonianMercury_0003,1807.05.30_Jackson'sOxfordJournal_0004
1807.06.20_Jackson'sOxfordJournal_0003,1807.05.02_TheLeedsMercury_0002
